snapshot,i,j,d_meas_m,d_gt_m,d_err_signed_mm,d_err_abs_mm,zang_meas_deg,zang_gt_deg,zang_err_deg,zang_err_abs_deg,tx_err_mm,ty_err_mm,tz_err_mm,t_err_norm_mm,roll_err_deg,pitch_err_deg,yaw_err_deg,geo_err_deg
1,2,10,0.17516770318473993,0.17473193755006555,0.43576563467437324,0.43576563467437324,0.7401657940595033,0.0,0.7401657940595033,0.7401657940595033,-330.3795531336081,115.23485123909161,-0.12081699051724737,349.8996065525129,-0.6957639740619873,-0.25250946363980625,-119.99667228802491,119.99958562125215
1,2,11,0.16671049953639536,0.165,1.710499536395349,1.710499536395349,1.1481046721512465,0.0,1.1481046721512465,1.1481046721512465,-331.6970106044651,0.04370739299194848,2.1202360418388633,331.7037897811057,-1.0400511647963662,0.486275524426826,-89.88449045452016,89.88584014007962
1,3,4,0.05788188984488993,0.0575,0.3818898448899252,0.3818898448899252,0.7588280503394844,0.0,0.7588280503394844,0.7588280503394844,1.0919478659313224,-80.73286826814191,-1.1215230056226266,80.7480413557828,0.7588270028492369,0.0012608814582578,-90.04154221132517,90.04406119175182
1,3,5,0.11569336889499574,0.11500000000000002,0.6933688949957162,0.6933688949957162,0.9746138286661667,0.0,0.9746138286661667,0.9746138286661667,0.7484096647361743,-162.86347037979527,0.630095894998628,162.86640882027706,-0.9200455383423457,-0.3215543650682063,29.926662254562014,29.939585388804904
1,3,6,0.05543881217043313,0.055,0.43881217043312964,0.43881217043312964,0.06232305660734922,0.0,0.06232305660734922,0.06232305660734922,-78.13419874042327,-0.2680576003675772,-0.03786725932730661,78.1346677321559,-0.05787052857211482,0.02313364410954308,89.92684310537871,89.9268717577399
1,3,7,0.0791514557346133,0.07956915231419774,-0.41769657958444506,0.41769657958444506,0.6498957905786732,0.0,0.6498957905786732,0.6498957905786732,-76.86711049127413,-80.8542294545438,-1.7575867834309644,111.57530285536784,-0.21538321667499336,-0.6131691280548046,0.012414971215319415,0.6499933694400077
1,3,8,0.128097124793566,0.12747548783981963,0.6216369537463684,0.6216369537463684,0.9763118802881608,0.0,0.9763118802881608,0.9763118802881608,-77.40172858473298,-163.15819974969506,0.5635729560629077,180.58777186715292,0.6745800580536634,-0.7057971740722572,-90.06741150916424,90.06741087073017
1,3,9,0.11342288558088785,0.1125,0.92288558088785,0.92288558088785,0.9085604650861129,0.0,0.9085604650861129,0.9085604650861129,-159.8477861637621,-0.5562799614206027,0.015309806790209102,159.84875483794508,-0.5716082223745225,-0.7062313405001481,-90.0302930714945,90.03741562923764
1,3,10,0.12643796908314425,0.1263427876849328,0.09518139821146354,0.09518139821146354,0.8755969833632353,0.0,0.8755969833632353,0.8755969833632353,-158.86429369041662,-81.48619287174036,-1.2746834655303907,178.54827990328752,-0.3300341916260287,-0.8110208286173931,-30.067663769340648,30.08245117962219
1,3,11,0.16215116616127165,0.16087650543196172,1.2746607293099288,1.2746607293099288,0.6643467110405515,0.0,0.6643467110405515,0.6643467110405515,-159.76353378245017,-163.90337618965938,1.9564571611884185,228.89414841286063,-0.661234660215827,-0.0642297419901775,0.0477007311538448,0.6660305290066096
